Recensement agricole 2020; ; 
Référentiel géographique : France  par Commune 2020; ; 
Code;Libellé;SAU moyenne en 2020;SAU moyenne en 2020 - estimation (*=oui)
01001;L'Abergement-Clémenciat;80.8;
01002;L'Abergement-de-Varey;97.6;
01004;Ambérieu-en-Bugey;35.7;
01005;Ambérieux-en-Dombes;91.2;
01006;Ambléon;128.3;
01007;Ambronay;111;
01008;Ambutrix;114.6;
01009;Andert-et-Condon;20.3;
01010;Anglefort;32.6;
01011;Apremont;194.8;
01012;Aranc;51.2;
01013;Arandas;186.6;
01014;Arbent;N/A - division par 0;
01015;Arboys en Bugey;33.9;
01016;Arbigny;201.4;
01017;Argis;67.6;
01019;Armix;196.5;
01021;Ars-sur-Formans;108.1;
01022;Artemare;4.2;
01023;Asnières-sur-Saône;358.1;
01024;Attignat;46.9;
01025;Bâgé-Dommartin;107.9;
01026;Bâgé-le-Châtel;N/A - division par 0;
01027;Balan;256.9;
01028;Baneins;58.2;
01029;Beaupont;84.9;
01030;Beauregard;N/A - division par 0;
01031;Bellignat;N/A - division par 0;
01032;Béligneux;48.7;*
01033;Valserhône;88.8;
01034;Belley;49.4;
01035;Belleydoux;98;
01036;Valromey-sur-Séran;66.2;
01037;Bénonces;75.5;
01038;Bény;99.5;
01039;Béon;38.2;
01040;Béréziat;117.2;
01041;Bettant;0;
01042;Bey;127.8;
01043;Beynost;125.9;
01044;Billiat;233.3;
01045;Birieux;86.4;
01046;Biziat;128.4;
01047;Blyes;129.3;
01049;La Boisse;97.6;
01050;Boissey;101.5;
01051;Bolozon;N/A - division par 0;
01052;Bouligneux;61.3;
01053;Bourg-en-Bresse;55.4;
01054;Bourg-Saint-Christophe;105.3;
01056;Boyeux-Saint-Jérôme;23.2;
01057;Boz;144;
01058;Brégnier-Cordon;4.5;
01060;Brénod;111.1;
01061;Brens;79.1;
01062;Bressolles;395.7;
01063;Brion;7.4;
01064;Briord;63;
01065;Buellas;107.4;
01066;La Burbanche;96.6;
01067;Ceignes;150.1;
